index,name,artist,release_date,length,popularity,featured_artists
0,Smells Like Teen Spirit,Nirvana,1991,5.032,74,"Spin Doctors, George Harrison, Aerosmith, Quiet Riot, No Doubt"
1,Stairway to Heaven - Remaster,Led Zeppelin,1971,8.047166667,78,Joe Cocker
2,Bohemian Rhapsody - Remastered 2011,Queen,1975,5.905333333,74,"Billy Joel, Pink Floyd, Kate Bush"
3,Imagine - Remastered 2010,John Lennon,1971,3.1311,77,
4,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,1965,3.71355,77,The Kinks
5,Hotel California - 2013 Remaster,Eagles,1976,6.522933333,83,Daryl Hall & John Oates
6,Enter Sandman,Metallica,1991,5.526216667,74,"Starship, Nirvana"
7,Whole Lotta Love - 1990 Remaster,Led Zeppelin,1969,5.564883333,77,"Chuck Berry, Derek & The Dominos"
8,Comfortably Numb,Pink Floyd,1979,6.3716,74,"Neil Young, John Denver"
9,One,U2,1991,4.6031,76,
10,Born to Run,Bruce Springsteen,1975,4.498666667,73,"Electric Light Orchestra, AC/DC, KISS, KISS, Diana Ross"
11,Smoke on the Water,Deep Purple,1972,5.702883333,64,"Ringo Starr, Fleetwood Mac, The Rolling Stones"
12,Hey Jude - Remastered 2015,The Beatles,2000,7.094216667,76,"Alanis Morissette, Kelly Clarkson, Eagle-Eye Cherry, Maroon 5"
13,Paranoid - 2012 - Remaster,Black Sabbath,1970,2.80675,69,"Eagles, Bachman-Turner Overdrive, David Bowie, Rod Stewart"
14,Seven Nation Army,The White Stripes,2003,3.862216667,65,"Jet, Coldplay, Amy Winehouse"
15,Free Bird,Lynyrd Skynyrd,1973,9.118433333,71,Boz Scaggs
16,Back In Black,AC/DC,1980,4.258216667,84,"Queen, Rick James, Fleetwood Mac, Michael Jackson, David Bowie"
17,Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,1968,6.302433333,75,"The Who, The Beach Boys, The Lovin' Spoonful, Eagles, The Who"
18,Wish You Were Here,Pink Floyd,1975,5.57905,77,Johnny Cash
19,With Or Without You - Remastered,U2,1987,4.92525,79,
20,Sweet Child O' Mine,Guns N' Roses,1987,5.908666667,81,Pantera
21,I Still Haven't Found What I'm Looking For,U2,1987,4.6246,78,"Tom Petty and the Heartbreakers, Queen, Simple Minds"
22,Like a Rolling Stone,Bob Dylan,1965,6.16,74,"Jimi Hendrix, Black Sabbath"
23,All Along the Watchtower,Jimi Hendrix,1968,4.013333333,78,"Elvis Presley, The Beatles, Led Zeppelin"
24,Under the Bridge,Red Hot Chili Peppers,1991,4.4051,81,"Crowded House, R.E.M., Bobby Helms"
25,Creep,Radiohead,1993,3.977333333,82,Bryan Adams
26,Kashmir - 1990 Remaster,Led Zeppelin,1975,8.47,69,"David Bowie, Black Sabbath, Steely Dan, Black Sabbath"
27,Light My Fire,The Doors,1967,7.162666667,73,"Three Dog Night, Led Zeppelin, The Temptations"
28,My Generation - Stereo Version,The Who,1965,3.311766667,68,"The Doors, Creedence Clearwater Revival"
29,More Than a Feeling,Boston,1976,4.752216667,79,"Earth, Wind & Fire, Eagles, David Bowie"
30,"Another Brick in the Wall, Pt. 2",Pink Floyd,1979,3.9791,76,"Fleetwood Mac, Nazareth"
31,Layla,Derek & The Dominos,1970,7.064,74,"Faces, Stevie Wonder, Led Zeppelin, The Beatles"
32,Gimme Shelter,The Rolling Stones,1969,4.512883333,75,
33,You Shook Me All Night Long,AC/DC,1980,3.502883333,80,
34,Alive,Pearl Jam,1991,5.681783333,75,"Beastie Boys, The Presidents Of The United States Of America"
35,Won't Get Fooled Again - Original Album Version,The Who,1971,8.523333333,64,
36,London Calling - Remastered,The Clash,1979,3.341333333,73,"Patti Smith, The Police"
37,Come As You Are,Nirvana,1991,3.648666667,72,
38,Purple Haze,Jimi Hendrix,1967,2.846883333,72,"The Beatles, Derek & The Dominos, The Hollies, The Kinks"
39,Pride (In The Name Of Love) - Remastered 2009,U2,1984,3.8071,59,
40,Dream On,Aerosmith,1973,4.449333333,79,"Rod Stewart, The Rolling Stones"
41,Sunday Bloody Sunday - Remastered 2008,U2,1983,4.657333333,71,"Rush, Bon Jovi, AC/DC, Beastie Boys"
42,Rock and Roll - Remaster,Led Zeppelin,1971,3.676,67,"ZZ Top, Derek & The Dominos"
43,In My Life - Remastered 2009,The Beatles,1965,2.438883333,73,
44,Let It Be - Remastered 2009,The Beatles,1970,4.050433333,78,"Aerosmith, Yusuf / Cat Stevens, The Monkees, Lou Reed"
