name,artist,release_date,length,featured_artists
Smells Like Teen Spirit,Nirvana,01/01/1991,1913-10-10,"Spin Doctors, George Harrison, Aerosmith, Quiet Riot, No Doubt"
Stairway to Heaven - Remaster,Led Zeppelin,01/01/1971,8047166667,Joe Cocker
Bohemian Rhapsody - Remastered 2011,Queen,01/01/1975,5905333333,"Billy Joel, Pink Floyd, Kate Bush"
Imagine - Remastered 2010,John Lennon,01/01/1971,1311-03-01,
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,01/01/1965,2916-09-24,The Kinks
Hotel California - 2013 Remaster,Eagles,01/01/1976,6522933333,Daryl Hall & John Oates
Enter Sandman,Metallica,01/01/1991,5526216667,"Starship, Nirvana"
Whole Lotta Love - 1990 Remaster,Led Zeppelin,01/01/1969,5564883333,"Chuck Berry, Derek & The Dominos"
Comfortably Numb,Pink Floyd,01/01/1979,3716-06-01,"Neil Young, John Denver"
One,U2,01/01/1991,6031-04-01,
Born to Run,Bruce Springsteen,01/01/1975,4498666667,"Electric Light Orchestra, AC/DC, KISS, KISS, Diana Ross"
Smoke on the Water,Deep Purple,01/01/1972,5702883333,"Ringo Starr, Fleetwood Mac, The Rolling Stones"
Hey Jude - Remastered 2015,The Beatles,01/01/2000,7094216667,"Alanis Morissette, Kelly Clarkson, Eagle-Eye Cherry, Maroon 5"
Paranoid - 2012 - Remaster,Black Sabbath,01/01/1970,2668-06-16,"Eagles, Bachman-Turner Overdrive, David Bowie, Rod Stewart"
Seven Nation Army,The White Stripes,01/01/2003,3862216667,"Jet, Coldplay, Amy Winehouse"
Free Bird,Lynyrd Skynyrd,01/01/1973,9118433333,Boz Scaggs
Back In Black,AC/DC,01/01/1980,4258216667,"Queen, Rick James, Fleetwood Mac, Michael Jackson, David Bowie"
Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,01/01/1968,6302433333,"The Who, The Beach Boys, The Lovin' Spoonful, Eagles, The Who"
Wish You Were Here,Pink Floyd,01/01/1975,3427-06-28,Johnny Cash
With Or Without You - Remastered,U2,01/01/1987,3248-06-25,
Sweet Child O' Mine,Guns N' Roses,01/01/1987,5908666667,Pantera
I Still Haven't Found What I'm Looking For,U2,01/01/1987,6246-04-01,"Tom Petty and the Heartbreakers, Queen, Simple Minds"
Like a Rolling Stone,Bob Dylan,01/01/1965,6.16,"Jimi Hendrix, Black Sabbath"
All Along the Watchtower,Jimi Hendrix,01/01/1968,4013333333,"Elvis Presley, The Beatles, Led Zeppelin"
Under the Bridge,Red Hot Chili Peppers,01/01/1991,4051-04-01,"Crowded House, R.E.M., Bobby Helms"
Creep,Radiohead,01/01/1993,3977333333,Bryan Adams
Kashmir - 1990 Remaster,Led Zeppelin,01/01/1975,8.47,"David Bowie, Black Sabbath, Steely Dan, Black Sabbath"
Light My Fire,The Doors,01/01/1967,7162666667,"Three Dog Night, Led Zeppelin, The Temptations"
My Generation - Stereo Version,The Who,01/01/1965,3311766667,"The Doors, Creedence Clearwater Revival"
More Than a Feeling,Boston,01/01/1976,4752216667,"Earth, Wind & Fire, Eagles, David Bowie"
Another Brick in the Wall,Pink Floyd,01/01/1979,9791-03-01,"Fleetwood Mac, Nazareth"
Layla,Derek & The Dominos,01/01/1970,1919-05-04,"Faces, Stevie Wonder, Led Zeppelin, The Beatles"
Gimme Shelter,The Rolling Stones,01/01/1969,4512883333,
You Shook Me All Night Long,AC/DC,01/01/1980,3502883333,
Alive,Pearl Jam,01/01/1991,5681783333,"Beastie Boys, The Presidents Of The United States Of America"
Won't Get Fooled Again - Original Album Version,The Who,01/01/1971,8523333333,
London Calling - Remastered,The Clash,01/01/1979,3341333333,"Patti Smith, The Police"
Come As You Are,Nirvana,01/01/1991,3648666667,
Purple Haze,Jimi Hendrix,01/01/1967,2846883333,"The Beatles, Derek & The Dominos, The Hollies, The Kinks"
Pride (In The Name Of Love) - Remastered 2009,U2,01/01/1984,8071-03-01,
Dream On,Aerosmith,01/01/1973,4449333333,"Rod Stewart, The Rolling Stones"
Sunday Bloody Sunday - Remastered 2008,U2,01/01/1983,4657333333,"Rush, Bon Jovi, AC/DC, Beastie Boys"
Rock and Roll - Remaster,Led Zeppelin,01/01/1971,1910-01-23,"ZZ Top, Derek & The Dominos"
In My Life - Remastered 2009,The Beatles,01/01/1965,2438883333,
Let It Be - Remastered 2009,The Beatles,01/01/1970,4050433333,"Aerosmith, Yusuf / Cat Stevens, The Monkees, Lou Reed"
Baba O'Riley,The Who,01/01/1971,5006666667,"AC/DC, Carly Simon"
Jeremy,Pearl Jam,01/01/1991,5303766667,Aerosmith
Welcome To The Jungle,Guns N' Roses,01/01/1987,4533766667,"Dead Or Alive, Faith No More, Spin Doctors, George Harrison, Billy Joel"
Bitter Sweet Symphony,The Verve,01/01/1997,5954433333,Nirvana
Roxanne,The Police,01/01/1978,1991-03-01,"Earth, Wind & Fire, Jackson Browne, Aerosmith, The Knack"
Money,Pink Floyd,01/01/1973,6380566667,Rod Stewart
Every Breath You Take - Remastered 2003,The Police,01/01/1983,4231433333,Lillian Axe
A Day In The Life - Remastered 2009,The Beatles,01/01/1967,3439-09-03,The Rolling Stones
Sweet Emotion,Aerosmith,01/01/1975,4568883333,Thin Lizzy
Born To Be Wild - Single Version,Steppenwolf,01/01/1968,3548216667,"Bob Dylan, Led Zeppelin"
New Year's Day - Single Edit - Remastered,U2,01/01/1983,2975-11-14,Paul Simon
Paint It,The Rolling Stones,01/01/1966,3711-03-01,"Big Brother & The Holding Company, The Beatles, The Beatles, Steppenwolf"
Black Dog - Remaster,Led Zeppelin,01/01/1971,9231-04-01,
Basket Case,Green Day,01/01/1994,2728-05-13,"The Verve, Lenny Kravitz, Santana, The Offspring"
November Rain,Guns N' Roses,01/01/1991,8934433333,"The Cranberries, Cher, Phil Collins, Soul Asylum"
Even Flow,Pearl Jam,01/01/1991,4876333333,
You Can't Always Get What You Want,The Rolling Stones,01/01/1969,7478666667,"The Supremes, The Doors, Marvin Gaye, Creedence Clearwater Revival"
Money for Nothing,Dire Straits,01/01/1985,8.44,The Black Sorrows
Nothing Else Matters,Metallica,01/01/1991,6478883333,Glenn Medeiros
Everlong,Foo Fighters,01/01/1997,4175766667,"Soundgarden, Nirvana"
Angie,The Rolling Stones,01/01/1973,4533333333,"Eagles, Pink Floyd, David Bowie, Cheap Trick"
Jump - 2015 Remaster,Van Halen,01/01/1984,3002-06-16,
(Don't Fear) The Reaper,Blue Öyster Cult,01/01/1976,5135333333,"AC/DC, Van Halen, Bruce Springsteen"
